already_cited,eval_date,graph_edges,graph_nodes,not_in_pool_after_cutoff,paper_id,pool_available,post_cutoff_candidates,raw_pool_size,reviewer_cases
0,2024-05-15,2666,1000,2,1,3,103,1000,5
0,2024-03-21,3246,1000,0,2,0,178,1000,0
0,2024-09-28,4192,1000,0,3,0,167,1000,0
0,2023-06-30,3181,1000,12,4,0,125,1000,12
0,2025-03-18,5035,1000,2,5,0,152,1000,2
0,2026-03-23,1971,1000,0,6,0,186,1000,0
0,2023-06-15,1791,1000,0,7,0,128,1000,0
0,2024-05-24,1470,1000,0,8,0,67,1000,0
1,2023-06-16,2263,1000,4,9,0,58,1000,5
0,2023-12-14,2724,1000,8,10,3,52,1000,11
1,2023-11-06,3482,1000,0,11,1,159,1000,2
0,2025-09-23,3628,1000,3,12,0,171,1000,3
0,2023-07-05,2876,1000,2,13,1,100,1000,3
0,2024-01-02,3001,1000,0,14,0,164,1000,0
0,2024-09-24,4475,1000,1,15,0,139,1000,1
0,2023-06-23,1258,1000,8,16,0,100,1000,8
0,2023-07-07,3794,1000,3,17,0,124,1000,3
0,2026-02-05,4262,1000,0,18,0,183,1000,0
0,2025-10-12,2356,1000,6,19,0,137,1000,6
0,2026-02-06,1792,1000,0,20,0,132,1000,0
0,2026-01-07,1120,1000,1,21,0,157,1000,1
0,2025-01-23,1169,1000,0,22,0,102,1000,0
0,2023-03-14,2209,1000,2,23,0,67,1000,2
0,2025-06-20,0,1,0,24,0,1,1,0
0,2025-06-08,1752,1000,1,25,0,97,1000,1
1,2025-04-04,5473,1000,5,26,0,162,1000,6
0,2025-07-25,2623,1000,0,27,0,168,1000,0
0,2024-04-30,2868,1000,12,28,0,145,1000,12
0,2026-02-06,3892,1000,3,29,0,191,1000,3
0,2024-12-01,4192,1000,0,30,0,166,1000,0
0,2024-04-05,1407,1000,5,31,0,157,1000,5
0,2024-06-12,4034,1000,0,32,0,83,1000,0
0,2024-08-27,2146,1000,3,33,0,93,1000,3
0,2023-10-12,4438,1000,0,34,0,168,1000,0
2,2024-11-10,4046,1000,6,35,0,163,1000,8
0,2024-01-19,3169,1000,2,36,0,106,1000,2
0,2023-10-24,5706,1000,4,38,0,174,1000,4
0,2025-08-07,2521,1000,0,39,0,192,1000,0
0,2025-11-07,2943,1000,0,40,0,145,1000,0
0,2025-01-18,2306,1000,5,41,0,145,1000,5
2,2025-04-25,1601,1000,2,42,1,137,1000,5
0,2024-01-04,2539,1000,4,43,0,123,1000,4
0,2024-06-05,2482,1000,0,44,0,104,1000,0
0,2024-03-01,2855,1000,2,45,0,157,1000,2
0,2026-01-28,3218,1000,0,46,0,164,1000,0
0,2024-03-08,1889,1000,0,47,0,160,1000,0
0,2023-01-11,3638,1000,2,48,0,155,1000,2
1,2025-07-14,3068,1000,5,49,0,185,1000,6
0,2023-09-05,5068,1000,0,50,0,160,1000,0
0,2026-03-12,2078,1000,3,51,0,140,1000,3
0,2025-03-12,2049,1000,0,52,0,181,1000,0
0,2024-07-28,3942,1000,13,53,0,184,1000,13
0,2025-11-13,1678,1000,1,54,0,149,1000,1
0,2026-02-25,1650,1000,0,55,0,154,1000,0
0,2026-03-05,5358,1000,3,56,0,174,1000,3
0,2026-01-27,1057,1000,3,57,0,106,1000,3
0,2025-12-03,2344,1000,4,58,0,163,1000,4
0,2023-02-17,5098,1000,2,59,0,154,1000,2
13,2024-08-19,4135,1000,20,60,0,186,1000,33
0,2024-06-13,2827,1000,7,61,0,135,1000,7
0,2025-11-10,1906,1000,2,62,0,188,1000,2
0,2025-09-04,2443,1000,0,63,0,174,1000,0
1,2025-10-07,3114,1000,9,64,2,169,1000,12
0,2026-02-05,2214,1000,0,65,0,157,1000,0
2,2025-10-29,1222,1000,4,66,0,107,1000,6
1,2024-07-11,3198,1000,5,67,0,172,1000,6
1,2025-11-14,3741,1000,8,68,0,193,1000,9
1,2022-12-16,4368,1000,6,69,0,162,1000,7
0,2025-09-04,3330,1000,4,70,0,183,1000,4
0,2022-04-28,3915,1000,0,71,0,142,1000,0
0,2025-09-03,2757,1000,0,72,0,166,1000,0
0,2025-03-04,6622,1000,0,73,0,168,1000,0
0,2025-09-06,2332,1000,20,74,0,161,1000,20
0,2024-03-07,4835,1000,0,75,0,167,1000,0
0,2025-01-28,2230,1000,1,76,0,154,1000,1
2,2025-03-27,3558,1000,2,77,0,174,1000,4
0,2024-01-23,2161,1000,0,78,0,148,1000,0
0,2025-11-10,2519,1000,0,79,0,168,1000,0
0,2025-08-24,1232,1000,0,80,0,132,1000,0
0,2025-05-22,2829,1000,1,81,0,169,1000,1
0,2026-01-06,3986,1000,1,82,0,191,1000,1
0,2025-07-23,1245,1000,0,83,0,86,1000,0
0,2025-06-13,2099,1000,0,84,0,182,1000,0
0,2025-09-04,1964,1000,4,85,0,129,1000,4
0,2024-01-12,5425,1000,0,86,0,141,1000,0
0,2024-04-09,2666,1000,0,87,0,169,1000,0
0,2024-10-07,1885,1000,14,88,0,161,1000,14
0,2024-11-05,3022,1000,1,89,2,151,1000,3
0,2025-10-10,1599,1000,2,90,0,148,1000,2
0,2024-09-21,3623,1000,9,91,0,178,1000,9
2,2025-02-11,995,1000,6,92,0,83,1000,8
0,2026-02-27,1319,1000,8,93,1,122,1000,9
0,2026-02-23,3555,1000,1,94,0,159,1000,1
0,2025-06-10,2158,1000,2,95,0,170,1000,2
0,2025-07-23,2868,1000,3,96,0,187,1000,3
0,2024-03-26,2132,1000,4,97,0,175,1000,4
0,2022-07-08,2375,1000,0,98,0,115,1000,0
0,2024-04-02,1780,1000,0,99,0,174,1000,0
0,2023-04-17,5385,1000,0,100,0,191,1000,0
0,2026-02-21,1334,1000,0,101,0,175,1000,0
0,2025-08-23,3150,1000,3,102,0,133,1000,3
0,2026-01-21,1964,1000,0,103,0,145,1000,0
0,2025-01-25,2288,1000,0,104,0,179,1000,0
0,2024-02-21,2075,1000,5,105,0,104,1000,5
0,2022-05-25,4629,1000,2,106,0,150,1000,2
0,2025-07-23,3204,1000,0,107,0,184,1000,0
0,2023-04-05,2980,1000,2,108,0,132,1000,2
0,2025-03-03,1220,1000,0,109,0,68,1000,0
0,2025-04-02,113,164,0,110,0,19,164,0
0,2023-12-04,1967,1000,0,111,0,117,1000,0
0,2025-04-02,1978,1000,4,112,1,157,1000,5
2,2024-07-16,2880,1000,1,113,0,133,1000,3
0,2024-08-09,2702,1000,6,114,0,133,1000,6
0,2026-01-21,1042,1000,0,115,0,113,1000,0
0,2023-10-23,1813,1000,0,116,0,144,1000,0
0,2024-03-16,2469,1000,0,117,0,184,1000,0
0,2026-02-12,1429,1000,0,118,0,139,1000,0
0,2023-06-15,4642,1000,0,122,0,149,1000,0
0,2023-06-16,2622,1000,0,123,0,111,1000,0
0,2023-06-15,1372,1000,0,124,0,97,1000,0
0,2023-06-16,2794,1000,0,126,0,101,1000,0
0,2023-09-20,2560,1000,2,130,0,170,1000,2
0,2024-03-19,2356,1000,0,132,1,165,1000,1
0,2024-03-22,3807,1000,2,133,0,191,1000,2
0,2024-03-20,2406,1000,6,134,0,93,1000,6
0,2024-09-26,2992,1000,2,135,1,175,1000,3
0,2023-06-09,5039,1000,4,136,0,186,1000,4
0,2025-09-18,4680,1000,0,137,0,177,1000,0
0,2025-09-19,1150,1000,4,138,0,63,1000,4
0,2025-09-04,1503,1000,3,139,0,156,1000,3
0,2024-05-29,2491,1000,0,140,0,155,1000,0
0,2024-01-12,3249,1000,0,142,0,178,1000,0
0,2025-06-17,3334,1000,0,143,0,177,1000,0
0,2024-11-22,2773,1000,1,144,0,132,1000,1
0,2025-06-13,2593,1000,2,145,0,88,1000,2
0,2024-05-03,1479,1000,0,146,0,93,1000,0
0,2025-03-16,4034,1000,0,147,0,121,1000,0
0,2026-01-24,2320,1000,4,148,0,162,1000,4
0,2025-10-15,2396,1000,3,149,0,158,1000,3
0,2025-03-17,4140,1000,4,150,0,185,1000,4
0,2025-06-27,3556,1000,0,151,0,167,1000,0
0,2024-08-12,3405,1000,4,152,0,197,1000,4
0,2024-07-10,2477,1000,3,153,0,109,1000,3
0,2024-11-08,1783,1000,9,154,0,171,1000,9
0,2024-06-13,2118,1000,3,155,0,157,1000,3
